zip,Zipcode name,City,State,County Name
49610,"ACME, MI",ACME,MI,GRAND TRAVERSE
49301,"ADA, MI",ADA,MI,KENT
49355,"ADA, MI",ADA,MI,KENT
49356,"ADA, MI",ADA,MI,KENT
49220,"ADDISON, MI",ADDISON,MI,LENAWEE
49221,"ADRIAN, MI",ADRIAN,MI,LENAWEE
49705,"AFTON, MI",AFTON,MI,CHEBOYGAN
49901,"AHMEEK, MI",AHMEEK,MI,KEWEENAW
48701,"AKRON, MI",AKRON,MI,TUSCOLA
49706,"ALANSON, MI",ALANSON,MI,EMMET
49611,"ALBA, MI",ALBA,MI,ANTRIM
49224,"ALBION, MI",ALBION,MI,CALHOUN
49612,"ALDEN, MI",ALDEN,MI,ANTRIM
48610,"ALGER, MI",ALGER,MI,ARENAC
48001,"ALGONAC, MI",ALGONAC,MI,SAINT CLAIR
49010,"ALLEGAN, MI",ALLEGAN,MI,ALLEGAN
49227,"ALLEN, MI",ALLEN,MI,HILLSDALE
48101,"ALLEN PARK, MI",ALLEN PARK,MI,WAYNE
49401,"ALLENDALE, MI",ALLENDALE,MI,OTTAWA
48002,"ALLENTON, MI",ALLENTON,MI,SAINT CLAIR
49805,"ALLOUEZ, MI",ALLOUEZ,MI,KEWEENAW
48801,"ALMA, MI",ALMA,MI,GRATIOT
48003,"ALMONT, MI",ALMONT,MI,LAPEER
49707,"ALPENA, MI",ALPENA,MI,ALPENA
49902,"ALPHA, MI",ALPHA,MI,IRON
49302,"ALTO, MI",ALTO,MI,KENT
49903,"AMASA, MI",AMASA,MI,IRON
48004,"ANCHORVILLE, MI",ANCHORVILLE,MI,SAINT CLAIR
48103,"ANN ARBOR, MI",ANN ARBOR,MI,WASHTENAW
48104,"ANN ARBOR, MI",ANN ARBOR,MI,WASHTENAW
48105,"ANN ARBOR, MI",ANN ARBOR,MI,WASHTENAW
48106,"ANN ARBOR, MI",ANN ARBOR,MI,WASHTENAW
48107,"ANN ARBOR, MI",ANN ARBOR,MI,WASHTENAW
48108,"ANN ARBOR, MI",ANN ARBOR,MI,WASHTENAW
48109,"ANN ARBOR, MI",ANN ARBOR,MI,WASHTENAW
48113,"ANN ARBOR, MI",ANN ARBOR,MI,WASHTENAW
48401,"APPLEGATE, MI",APPLEGATE,MI,SANILAC
49613,"ARCADIA, MI",ARCADIA,MI,MANISTEE
48410,"ARGYLE, MI",ARGYLE,MI,SANILAC
48005,"ARMADA, MI",ARMADA,MI,MACOMB
49819,"ARNOLD, MI",ARNOLD,MI,MARQUETTE
48806,"ASHLEY, MI",ASHLEY,MI,GRATIOT
49011,"ATHENS, MI",ATHENS,MI,CALHOUN
49709,"ATLANTA, MI",ATLANTA,MI,MONTMORENCY
49905,"ATLANTIC MINE, MI",ATLANTIC MINE,MI,HOUGHTON
48411,"ATLAS, MI",ATLAS,MI,GENESEE
48412,"ATTICA, MI",ATTICA,MI,LAPEER
48703,"AU GRES, MI",AU GRES,MI,ARENAC
49806,"AU TRAIN, MI",AU TRAIN,MI,ALGER
48611,"AUBURN, MI",AUBURN,MI,BAY
48321,"AUBURN HILLS, MI",AUBURN HILLS,MI,OAKLAND
48326,"AUBURN HILLS, MI",AUBURN HILLS,MI,OAKLAND
49012,"AUGUSTA, MI",AUGUSTA,MI,KALAMAZOO
48006,"AVOCA, MI",AVOCA,MI,SAINT CLAIR
48110,"AZALIA, MI",AZALIA,MI,MONROE
48413,"BAD AXE, MI",BAD AXE,MI,HURON
49303,"BAILEY, MI",BAILEY,MI,MUSKEGON
49304,"BALDWIN, MI",BALDWIN,MI,LAKE
48414,"BANCROFT, MI",BANCROFT,MI,SHIAWASSEE
49013,"BANGOR, MI",BANGOR,MI,VAN BUREN
48807,"BANNISTER, MI",BANNISTER,MI,GRATIOT
49908,"BARAGA, MI",BARAGA,MI,BARAGA
49710,"BARBEAU, MI",BARBEAU,MI,CHIPPEWA
49807,"BARK RIVER, MI",BARK RIVER,MI,DELTA
49101,"BARODA, MI",BARODA,MI,BERRIEN
49305,"BARRYTON, MI",BARRYTON,MI,MECOSTA
48705,"BARTON CITY, MI",BARTON CITY,MI,ALCONA
48808,"BATH, MI",BATH,MI,CLINTON
49014,"BATTLE CREEK, MI",BATTLE CREEK,MI,CALHOUN
49015,"BATTLE CREEK, MI",BATTLE CREEK,MI,CALHOUN
49016,"BATTLE CREEK, MI",BATTLE CREEK,MI,CALHOUN
49017,"BATTLE CREEK, MI",BATTLE CREEK,MI,CALHOUN
49037,"BATTLE CREEK, MI",BATTLE CREEK,MI,CALHOUN
48706,"BAY CITY, MI",BAY CITY,MI,BAY
48707,"BAY CITY, MI",BAY CITY,MI,BAY
48708,"BAY CITY, MI",BAY CITY,MI,BAY
48720,"BAY PORT, MI",BAY PORT,MI,HURON
49711,"BAY SHORE, MI",BAY SHORE,MI,CHARLEVOIX
49614,"BEAR LAKE, MI",BEAR LAKE,MI,MANISTEE
49782,"BEAVER ISLAND, MI",BEAVER ISLAND,MI,CHARLEVOIX
48612,"BEAVERTON, MI",BEAVERTON,MI,GLADWIN
48809,"BELDING, MI",BELDING,MI,IONIA
49615,"BELLAIRE, MI",BELLAIRE,MI,ANTRIM
48111,"BELLEVILLE, MI",BELLEVILLE,MI,WAYNE
48112,"BELLEVILLE, MI",BELLEVILLE,MI,WAYNE
49021,"BELLEVUE, MI",BELLEVUE,MI,EATON
49306,"BELMONT, MI",BELMONT,MI,KENT
48613,"BENTLEY, MI",BENTLEY,MI,BAY
49022,"BENTON HARBOR, MI",BENTON HARBOR,MI,BERRIEN
49023,"BENTON HARBOR, MI",BENTON HARBOR,MI,BERRIEN
49616,"BENZONIA, MI",BENZONIA,MI,BENZIE
49910,"BERGLAND, MI",BERGLAND,MI,ONTONAGON
48072,"BERKLEY, MI",BERKLEY,MI,OAKLAND
49102,"BERRIEN CENTER, MI",BERRIEN CENTER,MI,BERRIEN
49103,"BERRIEN SPRINGS, MI",BERRIEN SPRINGS,MI,BERRIEN
49104,"BERRIEN SPRINGS, MI",BERRIEN SPRINGS,MI,BERRIEN
49911,"BESSEMER, MI",BESSEMER,MI,GOGEBIC
49617,"BEULAH, MI",BEULAH,MI,BENZIE
49808,"BIG BAY, MI",BIG BAY,MI,MARQUETTE
49307,"BIG RAPIDS, MI",BIG RAPIDS,MI,MECOSTA
48415,"BIRCH RUN, MI",BIRCH RUN,MI,SAGINAW
48009,"BIRMINGHAM, MI",BIRMINGHAM,MI,OAKLAND
48012,"BIRMINGHAM, MI",BIRMINGHAM,MI,OAKLAND
49309,"BITELY, MI",BITELY,MI,NEWAYGO
48721,"BLACK RIVER, MI",BLACK RIVER,MI,ALCONA
49310,"BLANCHARD, MI",BLANCHARD,MI,ISABELLA
49228,"BLISSFIELD, MI",BLISSFIELD,MI,LENAWEE
48301,"BLOOMFIELD HILLS, MI",BLOOMFIELD HILLS,MI,OAKLAND
48302,"BLOOMFIELD HILLS, MI",BLOOMFIELD HILLS,MI,OAKLAND
48303,"BLOOMFIELD HILLS, MI",BLOOMFIELD HILLS,MI,OAKLAND
48304,"BLOOMFIELD HILLS, MI",BLOOMFIELD HILLS,MI,OAKLAND
49026,"BLOOMINGDALE, MI",BLOOMINGDALE,MI,VAN BUREN
49618,"BOON, MI",BOON,MI,WEXFORD
49712,"BOYNE CITY, MI",BOYNE CITY,MI,CHARLEVOIX
49713,"BOYNE FALLS, MI",BOYNE FALLS,MI,CHARLEVOIX
49311,"BRADLEY, MI",BRADLEY,MI,ALLEGAN
49402,"BRANCH, MI",BRANCH,MI,MASON
48614,"BRANT, MI",BRANT,MI,SAGINAW
48615,"BRECKENRIDGE, MI",BRECKENRIDGE,MI,GRATIOT
49027,"BREEDSVILLE, MI",BREEDSVILLE,MI,VAN BUREN
49619,"BRETHREN, MI",BRETHREN,MI,MANISTEE
48722,"BRIDGEPORT, MI",BRIDGEPORT,MI,SAGINAW
48115,"BRIDGEWATER, MI",BRIDGEWATER,MI,WASHTENAW
49106,"BRIDGMAN, MI",BRIDGMAN,MI,BERRIEN
48114,"BRIGHTON, MI",BRIGHTON,MI,LIVINGSTON
48116,"BRIGHTON, MI",BRIGHTON,MI,LIVINGSTON
49715,"BRIMLEY, MI",BRIMLEY,MI,CHIPPEWA
49229,"BRITTON, MI",BRITTON,MI,LENAWEE
49312,"BROHMAN, MI",BROHMAN,MI,NEWAYGO
49028,"BRONSON, MI",BRONSON,MI,BRANCH
49230,"BROOKLYN, MI",BROOKLYN,MI,JACKSON
48416,"BROWN CITY, MI",BROWN CITY,MI,SANILAC
49912,"BRUCE CROSSING, MI",BRUCE CROSSING,MI,ONTONAGON
49716,"BRUTUS, MI",BRUTUS,MI,EMMET
49107,"BUCHANAN, MI",BUCHANAN,MI,BERRIEN
49620,"BUCKLEY, MI",BUCKLEY,MI,WEXFORD
49029,"BURLINGTON, MI",BURLINGTON,MI,CALHOUN
49314,"BURNIPS, MI",BURNIPS,MI,ALLEGAN
49030,"BURR OAK, MI",BURR OAK,MI,SAINT JOSEPH
48417,"BURT, MI",BURT,MI,SAGINAW
49717,"BURT LAKE, MI",BURT LAKE,MI,CHEBOYGAN
48509,"BURTON, MI",BURTON,MI,GENESEE
48519,"BURTON, MI",BURTON,MI,GENESEE
48529,"BURTON, MI",BURTON,MI,GENESEE
48418,"BYRON, MI",BYRON,MI,SHIAWASSEE
49315,"BYRON CENTER, MI",BYRON CENTER,MI,KENT
49601,"CADILLAC, MI",CADILLAC,MI,WEXFORD
49316,"CALEDONIA, MI",CALEDONIA,MI,KENT
49913,"CALUMET, MI",CALUMET,MI,HOUGHTON
49232,"CAMDEN, MI",CAMDEN,MI,HILLSDALE
49317,"CANNONSBURG, MI",CANNONSBURG,MI,KENT
48187,"CANTON, MI",CANTON,MI,WAYNE
48188,"CANTON, MI",CANTON,MI,WAYNE
48014,"CAPAC, MI",CAPAC,MI,SAINT CLAIR
48117,"CARLETON, MI",CARLETON,MI,MONROE
49812,"CARNEY, MI",CARNEY,MI,MENOMINEE
48723,"CARO, MI",CARO,MI,TUSCOLA
49718,"CARP LAKE, MI",CARP LAKE,MI,EMMET
48724,"CARROLLTON, MI",CARROLLTON,MI,SAGINAW
48811,"CARSON CITY, MI",CARSON CITY,MI,MONTCALM
48419,"CARSONVILLE, MI",CARSONVILLE,MI,SANILAC
48064,"CASCO, MI",CASCO,MI,SAINT CLAIR
48725,"CASEVILLE, MI",CASEVILLE,MI,HURON
49318,"CASNOVIA, MI",CASNOVIA,MI,MUSKEGON
49915,"CASPIAN, MI",CASPIAN,MI,IRON
48726,"CASS CITY, MI",CASS CITY,MI,TUSCOLA
49031,"CASSOPOLIS, MI",CASSOPOLIS,MI,CASS
49621,"CEDAR, MI",CEDAR,MI,LEELANAU
48812,"CEDAR LAKE, MI",CEDAR LAKE,MI,MONTCALM
49319,"CEDAR SPRINGS, MI",CEDAR SPRINGS,MI,KENT
49719,"CEDARVILLE, MI",CEDARVILLE,MI,MACKINAC
49233,"CEMENT CITY, MI",CEMENT CITY,MI,LENAWEE
48015,"CENTER LINE, MI",CENTER LINE,MI,MACOMB
49622,"CENTRAL LAKE, MI",CENTRAL LAKE,MI,ANTRIM
49032,"CENTREVILLE, MI",CENTREVILLE,MI,SAINT JOSEPH
49033,"CERESCO, MI",CERESCO,MI,CALHOUN
49814,"CHAMPION, MI",CHAMPION,MI,MARQUETTE
49815,"CHANNING, MI",CHANNING,MI,DICKINSON
49720,"CHARLEVOIX, MI",CHARLEVOIX,MI,CHARLEVOIX
48813,"CHARLOTTE, MI",CHARLOTTE,MI,EATON
49623,"CHASE, MI",CHASE,MI,LAKE
49916,"CHASSELL, MI",CHASSELL,MI,HOUGHTON
49816,"CHATHAM, MI",CHATHAM,MI,ALGER
49721,"CHEBOYGAN, MI",CHEBOYGAN,MI,CHEBOYGAN
48118,"CHELSEA, MI",CHELSEA,MI,WASHTENAW
48616,"CHESANING, MI",CHESANING,MI,SAGINAW
49320,"CHIPPEWA LAKE, MI",CHIPPEWA LAKE,MI,MECOSTA
48617,"CLARE, MI",CLARE,MI,CLARE
49234,"CLARKLAKE, MI",CLARKLAKE,MI,JACKSON
48346,"CLARKSTON, MI",CLARKSTON,MI,OAKLAND
48347,"CLARKSTON, MI",CLARKSTON,MI,OAKLAND
48348,"CLARKSTON, MI",CLARKSTON,MI,OAKLAND
48815,"CLARKSVILLE, MI",CLARKSVILLE,MI,IONIA
48017,"CLAWSON, MI",CLAWSON,MI,OAKLAND
49235,"CLAYTON, MI",CLAYTON,MI,LENAWEE
48727,"CLIFFORD, MI",CLIFFORD,MI,LAPEER
49034,"CLIMAX, MI",CLIMAX,MI,KALAMAZOO
49236,"CLINTON, MI",CLINTON,MI,LENAWEE
48035,"CLINTON TOWNSHIP, MI",CLINTON TOWNSHIP,MI,MACOMB
48036,"CLINTON TOWNSHIP, MI",CLINTON TOWNSHIP,MI,MACOMB
48038,"CLINTON TOWNSHIP, MI",CLINTON TOWNSHIP,MI,MACOMB
48420,"CLIO, MI",CLIO,MI,GENESEE
49035,"CLOVERDALE, MI",CLOVERDALE,MI,BARRY
48816,"COHOCTAH, MI",COHOCTAH,MI,LIVINGSTON
49036,"COLDWATER, MI",COLDWATER,MI,BRANCH
48618,"COLEMAN, MI",COLEMAN,MI,MIDLAND
49038,"COLOMA, MI",COLOMA,MI,BERRIEN
49040,"COLON, MI",COLON,MI,SAINT JOSEPH
48421,"COLUMBIAVILLE, MI",COLUMBIAVILLE,MI,LAPEER
48063,"COLUMBUS, MI",COLUMBUS,MI,SAINT CLAIR
48619,"COMINS, MI",COMINS,MI,OSCODA
48382,"COMMERCE TOWNSHIP, MI",COMMERCE TOWNSHIP,MI,OAKLAND
49041,"COMSTOCK, MI",COMSTOCK,MI,KALAMAZOO
49321,"COMSTOCK PARK, MI",COMSTOCK PARK,MI,KENT
49237,"CONCORD, MI",CONCORD,MI,JACKSON
49403,"CONKLIN, MI",CONKLIN,MI,OTTAWA
49042,"CONSTANTINE, MI",CONSTANTINE,MI,SAINT JOSEPH
49722,"CONWAY, MI",CONWAY,MI,EMMET
49817,"COOKS, MI",COOKS,MI,SCHOOLCRAFT
49404,"COOPERSVILLE, MI",COOPERSVILLE,MI,OTTAWA
49625,"COPEMISH, MI",COPEMISH,MI,MANISTEE
49917,"COPPER CITY, MI",COPPER CITY,MI,HOUGHTON
49918,"COPPER HARBOR, MI",COPPER HARBOR,MI,KEWEENAW
49322,"CORAL, MI",CORAL,MI,MONTCALM
49818,"CORNELL, MI",CORNELL,MI,DELTA
48817,"CORUNNA, MI",CORUNNA,MI,SHIAWASSEE
49043,"COVERT, MI",COVERT,MI,VAN BUREN
49919,"COVINGTON, MI",COVINGTON,MI,BARAGA
49723,"CROSS VILLAGE, MI",CROSS VILLAGE,MI,EMMET
48422,"CROSWELL, MI",CROSWELL,MI,SANILAC
48818,"CRYSTAL, MI",CRYSTAL,MI,MONTCALM
49920,"CRYSTAL FALLS, MI",CRYSTAL FALLS,MI,IRON
48728,"CURRAN, MI",CURRAN,MI,ALCONA
49820,"CURTIS, MI",CURTIS,MI,MACKINAC
49405,"CUSTER, MI",CUSTER,MI,MASON
49724,"DAFTER, MI",DAFTER,MI,CHIPPEWA
49821,"DAGGETT, MI",DAGGETT,MI,MENOMINEE
48819,"DANSVILLE, MI",DANSVILLE,MI,INGHAM
48350,"DAVISBURG, MI",DAVISBURG,MI,OAKLAND
48423,"DAVISON, MI",DAVISON,MI,GENESEE
49725,"DE TOUR VILLAGE, MI",DE TOUR VILLAGE,MI,CHIPPEWA
48120,"DEARBORN, MI",DEARBORN,MI,WAYNE
48121,"DEARBORN, MI",DEARBORN,MI,WAYNE
48123,"DEARBORN, MI",DEARBORN,MI,WAYNE
48124,"DEARBORN, MI",DEARBORN,MI,WAYNE
48126,"DEARBORN, MI",DEARBORN,MI,WAYNE
48128,"DEARBORN, MI",DEARBORN,MI,WAYNE
48125,"DEARBORN HEIGHTS, MI",DEARBORN HEIGHTS,MI,WAYNE
48127,"DEARBORN HEIGHTS, MI",DEARBORN HEIGHTS,MI,WAYNE
